entered and chekced,Site,Date,month,day,year,Species,notes,Counts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,60,notes
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,surgeonfish,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,surgeonfish,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,surgeonfish,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,surgeonfish,,3,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,surgeonfish,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,surgeonfish,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,tang,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,tang,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,tang,,3,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,tang,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,tang,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,tang,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,tomtate,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,tomtate,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,tomtate,,8,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,tomtate,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,tomtate,,17,,,,,,,,,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,tomtate,,120,,,,,,,,40,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,tomtate,,160,,,,,,,,40,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,tomtate,,25,,,,,,,,10,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
JEA,H1,6/15/18,6,15,2018,trumpetfish,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,white grunt,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,white grunt,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,white grunt,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,white grunt,,90,,,,,,20,,,,20,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,white grunt,,120,,,,,,,,40,,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,white grunt,,141,,,,,50,30,50,,,,,,,,8,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,white grunt,,85,,,,,,15,,,,15,,,,10,30,,,15,,,,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,white grunt,,30,,,,,,,,,,,,,,,20,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,white grunt,,35,,,,,,,,,,,,,,,20,,,,,10,,,,,5,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,yellow goatfish,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,yellowhead wrasse,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,yellowhead wrasse,,5,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW3,5/20/18,5,20,2018,yellowhead wrasse,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,yellowtail snapper,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
