CommonName,Family,Genus,Species,MumbyColumn ID,ColumnID,Best model,allgeier_FFG,Valdivia_FFG,tp,Valdivia_TP
gray angel,Pomacanthidae,Pomacanthus,arcuatus,PomacanthidaePomacanthusarcuatus,Pomacanthidaespsp,family,omnivore,Large Omnivore,2.8,2.91
gray angelfish,Pomacanthidae,Pomacanthus,arcuatus,PomacanthidaePomacanthusarcuatus,Pomacanthidaespsp,family,omnivore,Large Omnivore,2.8,2.91
gray snapper,Lutjanidae,Lutjanus,griseus,LutjanidaeLutjanusgriseus,LutjanidaeLutjanusgriseus,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.25
gray triggerfish,Balistidae,Balistes,sp,BalistidaeBalistessp,BalistidaeBalistessp,speices,Macroinvertivore,Macroinvertivore,3.4,3.4
graysby,Serranidae,Cephalopholis,cruentatus,SerranidaeCephalopholiscruentatus,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
great barracuda,Sphyraenidae,Sphyraena,barracuda,SphyraenidaeSphyraenabarracuda,SphyraenidaeSphyraenasp,genus,Top Predators,Apex predator,4.5,4.5
green filefish,Monacanthidae,Aluterus,sp,MonacanthidaeAluterusschoepfi,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
green razorfish,Labridae,Xyrichtys,splendens,LabridaeXyrichtyssplendens,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
greenblotch parrotfish,Scaridae,Sparisoma,atomarium,ScaridaeSparisomaatomarium,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
grunt,Haemulidae,Haemulon,sp.,HaemulidaeHaemulonsp.,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
hamlet,Serranidae,Hypoplectrus,spp,SerranidaeHypoplectrusspp,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
harlequin bass,Serranidae,Serranus,tigrinus,SerranidaeSerranustigrinus,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
high hat,Sciaenidae,Pareques,acuminatus,,SciaenidaeParequesacuminatus,genus,Microinvertivore,Microinvertivore,3.2,3.41
hogfish,Labridae,Lachnolaimus,maximus,LabridaeLachnolaimusmaximus,LabridaeLachnolaimusmaximus,species,Macroinvertivore,Macroinvertivore,2.7,3.93
honeycomb cowfish,Ostraciidae,Acanthostracion,polygonia,OstraciidaeAcanthostracionpolygonia,Ostraciidaespsp,family,omnivore,Macroinvertivore,3.5,3.35
horse-eye jack,Carangidae,Caranx,latus,CarangidaeCaranxlatus,CarangidaeCaranxsp,genus,Piscivore,Piscivore Invertivore,4.5,4.39
houndfish,Belonidae,Tylosurus,crocodilus,BelonidaeTylosuruscrocodilus,BelonidaeTylosurussp,genus,Piscivore,Piscivore Invertivore,4.5,4.47
houndfish,Belonidae,Tylosurus,crocodilus,BelonidaeTylosuruscrocodilus,BelonidaeTylosurussp,genus,Piscivore,Piscivore Invertivore,4.5,4.47
indigo hamlet,Serranidae,Hypoplectrus,indigo,SerranidaeHypoplectrusindigo,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
jolthead porgy,Sparidae,Calamus,bajonado,SparidaeCalamusbajonado,SparidaeCalamussp,genus,Macroinvertivore,Macroinvertivore,3.3,3.17
juvenile grunt,Haemulidae,Haemulon,sp.,HaemulidaeHaemulonsp.,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
lane snapper,Lutjanidae,Lutjanus,synagris,LutjanidaeLutjanussynagris,LutjanidaeLutjanussynagris,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.82
lantern bass,Serranidae,Serranus,baldwini,SerranidaeSerranusbaldwini,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
lionfish,Scorpaenidae,Pterois,volitans,,ScorpaenidaePteroisvolitans,species,Piscivore-Invertivore,Piscivore Invertivore,4.4,4.45
longfin damselfish,Pomacentridae,Stegastes,diencaeus,PomacentridaeStegastesdiencaeus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
longjaw squirrelfish,Holocentridae,Neoniphon,marianus,HolocentridaeNeoniphonmarianus,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
longsnout butterfly,Chaetodontidae,Chaetodon,aculeatus,ChaetodontidaeChaetodonaculeatus,ChaetodontidaeChaetodonsp,genus,Microinvertivore,Microinvertivore,3.2,3.16
longspine squirrelfish,Holocentridae,Holocentrus,rufus,HolocentridaeHolocentrusrufus,HolocentridaeHolocentrussp,genus,Macroinvertivore,Macroinvertivore,3.5,3.6
mackerel scad,Carangidae,Decapterus,macarellus,CarangidaeDecapterusmacarellus,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
mahogany snapper,Lutjanidae,Lutjanus,mahogoni,LutjanidaeLutjanusmahogoni,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
marbled grouper,Serranidae,Dermatolepis,inermis,SerranidaeDermatolepisinermis,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
mardi gras wrasse,Labridae,Halichoeres,burekea,LabridaeHalichoeresburekea,LabridaeHalichoeresbivittatus,species,Microinvertivore,Macroinvertivore,3.5,3.34
margate (white),Haemulidae,Haemulon,album,HaemulidaeHaemulonalbum,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
microspathodon,Pomacentridae,Microspathodon,chrysurus,PomacentridaeMicrospathodonchrysurus,Pomacentridaespsp,family,Herbivores,Herbivore,2.1,2.11
midnight parrotfish,Scaridae,Scarus,coelestinus,ScaridaeScaruscoelestinus,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
mutton snapper,Lutjanidae,Lutjanus,analis,LutjanidaeLutjanusanalis,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
nassau grouper,Serranidae,Epinephelus,striatus,SerranidaeEpinephelusstriatus,SerranidaeEpinephelusstriatus,species,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.06
needlefish,Belonidae,Strongylura,timucu,BelonidaeStrongyluratimucu,Belonidaespsp,family,Piscivore,Piscivore Invertivore,4.5,4.47
none,nofish,nofish,sp,nofishsp,nofishsp,speices,none,none,0,0
ocean triggerfish,Balistidae,Canthidermis,sufflamen,BalistidaeCanthidermissufflamen,Balistidaespsp,family,Macroinvertivore,Macroinvertivore,3.2,3.24
orange filefish,Monacanthidae,Aluterus,schoepfi,MonacanthidaeAluterusschoepfi,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
orangespotted filefish,Monacanthidae,Cantherhines,pullus,MonacanthidaeCantherhinespullus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
palometa,Carangidae,Trachinotus,goodei,CarangidaeTrachinotusgoodei,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
pearly razorfish,Labridae,Xyrichtys,novacula,LabridaeXyrichtysnovacula,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
peppermint basslet,Serranidae,Liopropoma,rubre,SerranidaeLiopropomarubre,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
permit,Carangidae,Trachinotus,falcatus,CarangidaeTrachinotusfalcatus,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
porcupinefish,Diodontidae,Diodon,hystrix,DiodontidaeDiodonhystrix,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
porgy,Sparidae,Calamus,calamus,SparidaeCalamuscalamus,SparidaeCalamussp,genus,Macroinvertivore,Macroinvertivore,3.3,3.17
porkfish,Haemulidae,Anisotremus,virginicus,HaemulidaeAnisotremusvirginicus,Haemulidaespsp,family,Macroinvertivore,Macroinvertivore,3.5,3.25
princess parrotfish,Scaridae,Scarus,taeniopterus,ScaridaeSparisomataeniopterus,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
puddingwife,Labridae,Halichoeres,radiatus,LabridaeHalichoeresradiatus,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
purple mouth moray,Muraenidae,Gymnothorax,vicinus,MuraenidaeGymnothoraxvicinus,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
